full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
16500.0,440114,23.462248,113.166705,industrial,1.0,4844.96,3.405600871833823,729.0,,,3233.2631578947367,2026-08-31,2024-09-01,5000.0
100000.0,440105,23.098396,113.340299,commercial,,11637.0,8.593280054996992,220.0,,,3513.5714285714284,2025-06-30,2024-11-22,4000.0
45618.0,440114,23.422396,113.430984,industrial,3.0,6623.0,6.8878151894911674,730.0,,,3348.2727272727275,2026-08-01,2024-08-01,35000.0
73131.72,440113,22.937827,113.436605,industrial,4.0,16135.0,4.53,434.0,,,3570.277777777778,2025-12-29,2024-10-21,2231.0
18000.0,440114,23.391045,113.071181,industrial,1.0,7579.32,2.374883234907617,731.0,,,4064.818181818182,2026-01-11,2024-01-11,3600.0
69000.0,440115,22.827258,113.517449,industrial,,92500.0,0.745945945945946,380.0,,,3570.277777777778,2025-11-12,2024-10-28,12000.0
53332.0,440111,23.302976,113.348189,industrial,,13333.0,4.0,973.0,,,3778.8947368421054,2027-02-28,2024-06-30,30000.0
61498.26,440112,23.146802,113.544013,industrial,3.0,12031.51,5.111433228248158,365.0,,,3570.277777777778,2025-10-25,2024-10-25,20000.0
17362.0,440103,23.075303,113.239939,public,,15626.0,1.111096889799053,428.0,,,3778.8947368421054,2025-08-30,2024-06-28,10940.0
17740.04,440114,23.430561,113.324342,industrial,1.0,14027.0,1.2647066371996865,548.0,,81755.0,3872.15,2025-03-31,2023-09-30,15171.94
26653.89,440106,23.147938,113.361361,public,,9958.0,2.6766308495681863,1003.0,,,3233.2631578947367,2027-06-30,2024-09-30,22079.0
27427.33,440111,23.384022,113.447215,supporting facilities,1.0,,,656.0,,,3671.913043478261,2026-04-29,2024-07-12,13568.0
10369.4,440111,23.218915,113.294364,commercial,2.0,14180.0,0.7312693935119887,579.0,9959.33333333333,76064.0,5510.095238095239,2022-11-01,2021-04-01,4000.0
25866.19,440111,23.338649,113.38496,residential,2.0,12360.0,2.0927338187702262,296.0,,,3348.2727272727275,2025-05-30,2024-08-07,13000.0
3020.1307,440112,23.127548,113.534109,industrial,1.0,3020.1307,1.0,51.0,,,3671.913043478261,2024-08-29,2024-07-09,9195.72
27800.0,440115,0.0,0.0,public,,27800.0,1.0,167.0,,,3570.277777777778,2025-03-30,2024-10-14,4234.08
27221.62,440114,23.33113,113.111008,mixed use,1.0,11959.02,2.2762416987345113,448.0,,,3570.277777777778,2025-12-30,2024-10-08,8000.0
3991.84,440112,23.076272,113.40474,public,2.0,5343.0,0.7471158525173124,182.0,,81755.0,4073.4761904761904,2024-06-30,2023-12-31,2243.0
19026.78,440114,23.460206,113.16812,industrial,1.0,4550.0,4.1817098901098895,-183.0,,,3570.277777777778,2024-04-07,2024-10-07,4000.0
19864.0,440111,23.302976,113.348189,industrial,,12034.0,1.6506564733255775,730.0,,,3233.2631578947367,2026-09-29,2024-09-29,15000.0
52700.0,440114,23.40325,113.20038,public,1.0,47422.0,1.1112985534140272,59.0,,,3233.2631578947367,2024-11-27,2024-09-29,43400.0
55087.19,440106,23.138296,113.356471,public,2.0,,,485.0,,,3570.277777777778,2026-02-04,2024-10-07,34891.0
15194.0,440103,23.12879,113.22443,mixed use,2.0,9755.0,1.5575602255253715,123.0,,,3348.2727272727275,2024-12-30,2024-08-29,17986.0
57661.58,440112,23.093119,113.538887,industrial,4.0,17522.55,3.0,655.0,,,3233.2631578947367,2026-06-29,2024-09-12,21555.0208
90000.0,440114,23.366356,113.165974,industrial,4.0,34000.0,2.6470588235294117,549.0,,,3671.913043478261,2026-01-30,2024-07-30,45000.0
3892.61,440112,23.215094,113.507809,public,2.0,,,365.0,,,3671.913043478261,2025-07-14,2024-07-14,1906.9397
8728.97,440113,23.157843,113.299947,industrial,,,,92.0,,,3570.277777777778,2025-01-10,2024-10-10,17400.0
81000.0,440114,23.322791,113.108127,industrial,,20018.309,4.04629581849296,730.0,,,3778.8947368421054,2026-06-29,2024-06-29,30000.0
67948.13,440112,23.201138,113.577143,industrial,3.0,16215.0,4.190448967005859,321.0,,,3233.2631578947367,2025-08-11,2024-09-24,30000.0
32938.16,440112,23.050797,113.521083,industrial,1.0,,,446.0,,,3233.2631578947367,2025-12-14,2024-09-24,15000.0
70000.0,440114,23.103179,113.271399,commercial,4.0,20793.0,3.3665175780310683,1096.0,,81755.0,3968.7894736842095,2026-04-29,2023-04-29,17500.0
2557.0,440111,23.162626,113.234259,public,1.0,,,242.0,,,3778.8947368421054,2025-02-27,2024-06-30,2523.0
18326.0,440111,23.192163,113.247889,commercial,,9924.0,1.846634421604192,759.0,,,3848.55,2026-06-29,2024-05-31,34430.37
44690.32,440112,23.053652,113.523548,industrial,3.0,11717.0,3.814143552103781,986.0,,,3768.15,2026-12-30,2024-04-18,20500.0
48009.2,440112,23.077189,113.531103,industrial,3.0,,,487.0,,,3348.2727272727275,2025-12-31,2024-08-31,27000.0
1712.25,440113,22.950845,113.398982,public,1.0,,,956.0,,78409.0,3712.090909090909,2025-06-29,2022-11-16,1090.51
18000.0,440111,23.207418,113.204149,commercial,1.0,,,212.0,,,3570.277777777778,2025-05-14,2024-10-14,5000.0
22446.87,440118,23.57623,113.750976,industrial,1.0,20029.0,1.1207184582355585,730.0,,,3671.913043478261,2026-07-22,2024-07-22,11500.0
80000.0,440111,23.373401,113.415744,industrial,,20000.1,3.9999800001,724.0,,,3233.2631578947367,2026-08-30,2024-09-05,28000.0
4589.323,440111,23.275762,113.302681,industrial,1.0,4589.323,1.0,471.0,,,3233.2631578947367,2025-12-29,2024-09-14,8832.4
20000.0,440113,22.952708,113.479171,industrial,1.0,5881.0,3.4007821799013773,364.0,,,3233.2631578947367,2025-09-29,2024-09-30,8000.0
4213.11,440113,22.953824,113.338979,public,1.0,3612.28,1.17,297.0,,,3570.277777777778,2025-07-31,2024-10-07,1795.3
7020.0,440115,22.880417,113.456483,public,1.0,5000.0,1.404,471.0,,,3233.2631578947367,2025-12-29,2024-09-14,6143.36
63944.0,440111,23.155522,113.206668,commercial,1.0,14102.0,4.5343922847823,760.0,,81755.0,3975.090909090909,2025-12-29,2023-11-30,28768.82
37716.0,440111,23.284217,113.344708,commercial,,18858.0,2.0,1335.0,,,,2028-08-07,2024-12-11,45700.0
14240.92,440113,23.00568,113.40933,commercial,1.0,3756.14,3.791370928666131,354.0,,,3233.2631578947367,2025-09-14,2024-09-25,8000.0
112058.0,440114,23.370573,113.203343,industrial,10.0,37652.81,2.9760859813650034,699.0,,,3671.913043478261,2026-06-30,2024-07-31,32355.0
33333.0,440113,22.978859,113.371463,industrial,1.0,2500.0,13.3332,120.0,,,3233.2631578947367,2024-12-30,2024-09-01,15000.0
26256.0,440111,23.246399,113.263588,commercial,,11703.0,2.24352730069213,547.0,,,3513.5714285714284,2026-05-31,2024-11-30,21000.0
7000.0,440111,23.192589,113.252024,commercial,1.0,14000.0,0.5,213.0,,,3848.55,2024-12-30,2024-05-31,7000.0
9667.75,440111,23.370883,113.297019,industrial,1.0,,,379.0,,,4064.818181818182,2025-01-30,2024-01-17,39452.04
23800.0,440114,23.351797,113.123349,industrial,2.0,,,250.0,,,3233.2631578947367,2025-05-29,2024-09-21,10000.0
44388.95,440111,23.373401,113.415744,industrial,,12521.0,3.5451601309799536,730.0,,,3348.2727272727275,2026-08-31,2024-08-31,8000.0
61989.0,440112,23.15588,113.532955,residential,,61989.0,1.0,365.0,,,3778.8947368421054,2025-06-30,2024-06-30,2000.0
70367.3,440112,23.392805,113.491789,industrial,1.0,,,731.0,,81755.0,4325.652173913043,2025-03-30,2023-03-30,47826.0
139939.03,440114,23.465743,113.166819,industrial,,49822.09,2.8087747824308456,497.0,,,3348.2727272727275,2025-12-29,2024-08-19,1200.0
2769.0,440113,22.985158,113.477564,commercial,1.0,,,239.0,,,3348.2727272727275,2025-04-21,2024-08-25,1170.0516
